FullAddress,Latitude,Longitude
"95658, Newcastle, CA",38.8736824,-121.1338884
"27505, Broadway, NC",35.4579333,-79.0530768
"1583, West Boylston, MA",42.3667589,-71.78562699999999
"2379, West Bridgewater, MA",42.0302666,-71.014118
"66220, Lenexa, KS",38.9613361,-94.8209596
"74959, Spiro, OK",35.2412073,-94.61994399999999
"3903, Eliot, ME",43.1426535,-70.7763169
"7603, Bogota, NJ",40.8773217,-74.0270745
"28673, Sherrills Ford, NC",35.6204121,-80.9864655
"43502, Archbold, OH",41.5214401,-84.307172
"93460, Santa Ynez, CA",34.6144313,-120.079868
"14085, Hamburg, NY",42.7110346,-78.9344814
"11559, Lawrence, NY",40.60349830000001,-73.7183639
"21035, Davidsonville, MD",38.9227639,-76.62855449999999
"81647, New Castle, CO",39.5727585,-107.5364443
"18224, Freeland, PA",41.0167507,-75.897143
"20180, Lovettsville, VA",39.2747949,-77.6385513
"28789, Whittier, NC",35.433816,-83.356231
"84653, Salem, UT",39.9968961,-111.6302998
"7649, Oradell, NJ",40.9528921,-74.03882519999999
"6249, Lebanon, CT",41.6418362,-72.2126905
"90290, Topanga, CA",34.1076983,-118.61481
"11558, Island Park, NY",40.6042705,-73.65540779999999
"53118, Ottawa, WI",42.9761213,-88.4498199
"3304, Bow, NH",43.13366329999999,-71.5486562
"66218, Shawnee, KS",39.00297219999999,-94.8209596
"8084, Stratford, NJ",39.8269198,-75.0173035
"54011, Ellsworth, WI",44.7321897,-92.4874124
"45232, Cincinnati, OH",39.1787938,-84.514354
"37863, Pigeon Forge, TN",35.7974425,-83.5603112
"95683, Sloughhouse, CA",38.4956937,-121.1945204
"54025, Somerset, WI",45.1244108,-92.6735365
"49053, Comstock, MI",42.2914097,-85.3859519
"70734, Geismar, LA",30.2193468,-91.00650879999999
"46106, Bargersville, IN",39.5177899,-86.2056843
"86325, Cornville, AZ",34.7177989,-111.9215438
"70373, Larose, LA",29.572438,-90.3817483
"27572, Rougemont, NC",36.2184752,-78.926397
"55013, Chisago City, MN",45.3470698,-92.9063127
"12540, La Grange, NY",41.6495919,-73.7633635
"2461, Newton, MA",42.3134848,-71.2072321
"15089, West Newton, PA",40.2097933,-79.7669884
"15133, Port Vue, PA",40.3359028,-79.86977069999999
"41097, Williamstown, KY",38.6381245,-84.5604977
"43162, West Jefferson, OH",39.944784,-83.2688045
"65793, Willow Springs, MO",36.9922768,-91.96987419999999
"75763, Coffee City, TX",32.128173,-95.4987245
"17339, Fairview, PA",42.0314456,-80.25534069999999
"63362, Moscow Mills, MO",38.9478267,-90.9181916
"1469, Townsend, MA",42.6747554,-71.6792008
"6370, Montville, CT",41.4715591,-72.1771541
"76258, Pilot Point, TX",33.3588801,-96.89944949999999
"28114, Mooresboro, NC",35.2990546,-81.6985833
"33576, San Antonio, FL",28.3361142,-82.2745307
"15627, Derry, PA",40.3339589,-79.29975730000001
"10504, North Castle, NY",41.1395518,-73.712479
"49346, Stanwood, MI",43.5786366,-85.44920809999999
"99027, Otis Orchards-East Farms, WA",47.71889059999999,-117.1509129
"74036, Inola, OK",36.1512097,-95.50941949999999
"93953, Del Monte Forest, CA",36.5841937,-121.9416226
"24101, Hardy, VA",37.2317643,-79.8114761
"83801, Athol, ID",47.9479601,-116.7079745
