FullAddress,Latitude,Longitude
"60657, Chicago, IL",41.9403795,-87.6531805
"75070, McKinney, TX",33.1593743,-96.6805884
"77494, Katy, TX",29.742025,-95.8248352
"60614, Chicago, IL",41.9203468,-87.6433139
"79936, El Paso, TX",31.7599791,-106.287521
"77084, Houston, TX",29.8296506,-95.6668306
"10467, New York, NY",40.8723987,-73.8713099
"60640, Chicago, IL",41.9703133,-87.663045
"77449, Katy, TX",29.8260177,-95.7510475
"94109, San Francisco, CA",37.7929789,-122.4212424
"11226, New York, NY",40.6470923,-73.9536163
"32162, The Villages, FL",28.9121162,-81.986206
"11375, New York, NY",40.7245678,-73.8457658
"11235, New York, NY",40.5860069,-73.9418603
"37013, Nashville, TN",36.0207224,-86.6409554
"90250, Hawthorne, CA",33.9127807,-118.3520389
"60647, Chicago, IL",41.9215421,-87.7024817
"37211, Nashville, TN",36.0769945,-86.7114545
"78660, Pflugerville, TX",30.4332061,-97.6005786
"60618, Chicago, IL",41.9464283,-87.7074089
"10128, New York, NY",40.7826039,-73.9506774
"77573, League City, TX",29.4947986,-95.0911062
"77584, Pearland, TX",29.5321026,-95.3207069
"28269, Charlotte, NC",35.3352529,-80.7990185
"79912, El Paso, TX",31.8586994,-106.5466221
"78572, Mission, TX",26.2159066,-98.3252932
"94565, Pittsburg, CA",38.0182853,-121.9245556
"30349, Riverdale, GA",33.5726113,-84.4132594
"20002, Washington, DC",38.9052763,-76.9815877
"90046, Los Angeles, CA",34.1147313,-118.3637264
"78130, New Braunfels, TX",29.7049806,-98.068343
"78613, Cedar Park, TX",30.5119418,-97.8177601
"20009, Washington, DC",38.9191485,-77.0362967
"75052, Grand Prairie, TX",32.67942,-97.0283383
"10462, New York, NY",40.8382522,-73.8566087
"37042, Clarksville, TN",36.5604306,-87.4405786
"77429, Cypress, TX",30.0141064,-95.6668306
"63376, Saint Peters, MO",38.7874699,-90.6298922
"60613, Chicago, IL",41.9577761,-87.6556468
"77479, Sugar Land, TX",29.5662952,-95.6142558
"30044, Lawrenceville, GA",33.9327331,-84.0695961
"73099, Yukon, OK",35.5067215,-97.7625441
"77036, Houston, TX",29.702465,-95.5354816
"77433, Cypress, TX",29.9643725,-95.7510475
"10463, New York, NY",40.8803247,-73.9095279
"11230, New York, NY",40.6190629,-73.9653715
"60629, Chicago, IL",41.7727709,-87.7123355
"11209, New York, NY",40.6212119,-74.0329499
"60625, Chicago, IL",41.9711068,-87.7024817
"30043, Lawrenceville, GA",33.9963181,-84.0061661
"75034, Frisco, TX",33.1376528,-96.8565427
"11212, New York, NY",40.6639181,-73.9154069
"75287, Dallas, TX",32.9985237,-96.84046
"28277, Charlotte, NC",35.0535496,-80.8211696
"85032, Phoenix, AZ",33.6364503,-112.0118669
"7030, Hoboken, NJ",40.744052,-74.0270745
"11214, New York, NY",40.6046106,-73.9982756
"21234, Parkville, MD",39.3773292,-76.5396875
"33160, Sunny Isles Beach, FL",25.9428707,-80.1233802
"78521, Brownsville, TX",25.9739925,-97.330053
"23464, Virginia Beach, VA",36.7973473,-76.1899661
"77077, Houston, TX",29.7451163,-95.6195112
"94501, Alameda, CA",37.7712165,-122.2824021
"30096, Duluth, GA",33.9812131,-84.1540659
"78704, Austin, TX",30.2456728,-97.7688358
"98052, Redmond, WA",47.6701193,-122.118237
"77379, Tomball, TX",30.0314279,-95.5302337
"75243, Dallas, TX",32.9087285,-96.7386946
"11221, New York, NY",40.6903213,-73.9271644
"78245, San Antonio, TX",29.3978144,-98.7371039
"11229, New York, NY",40.5988077,-73.9447994
"8701, Lakewood, NJ",40.0807404,-74.2061931
"60619, Chicago, IL",41.7458012,-87.6087638
"90034, Los Angeles, CA",34.0324632,-118.395863
"94110, San Francisco, CA",37.7485824,-122.4184108
"78666, San Marcos, TX",29.8942825,-97.9810845
"30024, Suwanee, GA",34.0514898,-84.0712997
"60610, Chicago, IL",41.9003099,-87.6333871
"44107, Lakewood, OH",41.4836446,-81.806039
"75067, Lewisville, TX",33.0067086,-96.9960925
"33025, Miramar, FL",25.9906428,-80.2793593
"33411, Royal Palm Beach, FL",26.7083984,-80.2306019
"33139, Miami Beach, FL",25.783312,-80.1484407
"11377, New York, NY",40.7413334,-73.9036487
"90044, Los Angeles, CA",33.9478802,-118.2935891
"48197, Ypsilanti, MI",42.2411499,-83.6129939
"2169, Quincy, MA",42.2513682,-70.9962875
"23462, Virginia Beach, VA",36.8400852,-76.1493891
"90805, Long Beach, CA",33.8640647,-118.1766294
"66062, Olathe, KS",38.8271089,-94.7898731
"44035, Elyria, OH",41.3683798,-82.1076486
"95630, Folsom, CA",38.6061114,-121.1022942
"90650, Norwalk, CA",33.9170666,-118.0725134
"11234, New York, NY",40.6007956,-73.9065883
"92683, Westminster, CA",33.7531536,-118.0010421
"85710, Tucson, AZ",32.2165669,-110.8195292
"78745, Austin, TX",30.2153869,-97.7960118
"11355, New York, NY",40.7493096,-73.8213213
"10314, New York, NY",40.5952146,-74.1827119
"30281, Stockbridge, GA",33.5494383,-84.2067992
"32210, Jacksonville, FL",30.2775931,-81.7239979
"37075, Hendersonville, TN",36.3233083,-86.6006249
"94558, Napa, CA",38.2975381,-122.286865
"11215, New York, NY",40.6681669,-73.9800645
"90026, Los Angeles, CA",34.0796167,-118.2585096
"85225, Chandler, AZ",33.3091946,-111.8210866
"91910, Chula Vista, CA",32.6385134,-117.0617553
"87111, Albuquerque, NM",35.1322706,-106.4994889
"28027, Concord, NC",35.4002721,-80.6548882
"6010, Bristol, CT",41.6717648,-72.9492703
"78240, San Antonio, TX",29.5269768,-98.6105703
"87114, Albuquerque, NM",35.1958704,-106.6939803
"89108, Las Vegas, NV",36.2030945,-115.2244853
"85308, Glendale, AZ",33.664516,-112.2026347
"11211, New York, NY",40.7093358,-73.9565551
"17603, Lancaster, PA",40.0144597,-76.3289941
"93722, Fresno, CA",36.8353312,-119.8930904
"80134, Parker, CO",39.4626087,-104.7754307
